project_name,stars_count,Language,Domain,commits_count_total,commits_count_max,commits_count_avg,contributors_count_max,minor_count_max,contributors_count_avg,minor_count_avg,created year
GitHub - kylecorry31/Trail-Sense: An Android app that uses your phone's sensors to assist with wilderness treks or survival situations.,270,Kotlin,android,2861,583,7,6,7,1,0,2019
GitHub - kwent/ios-custom-alertview: Custom AlertView. Add images and other UIViews to dialogs under iOS7.,20,Objective-C,ios,18,13,3,3,1,1,0,2013
GitHub - konalexiou/ios_localizable_strings_finder: ios localizable strings finder (and auto translator),2,Python,ios,2,2,1,1,0,1,0,2019
GitHub - KOKENY97/Cahue-BlastOff: Repositório para subir exemplos e exercícios.,0,Swift,ios,81,35,2,1,0,1,0,2021
GitHub - Kjuly/UIBezierPath-Symbol: [DEPRECATED] Symbol extension for UIBezierPath class (UIBezierPath category).,116,Objective-C,ios,13,5,1,2,1,1,0,2012
GitHub - Kjuly/RockPaper: Project page for RockPaper - A simple Rock Paper Scissors game on iOS.,2,Shell,ios,3,3,2,1,0,1,0,2012
GitHub - Kjuly/MKMapView-ZoomLevel: MKMapView category with zoom level extension.,24,Objective-C,ios,9,3,1,2,0,1,0,2013
GitHub - Kjuly/KYUnlockCodeManager: Manage unlock codes (invitation code or free code) locally on client side only (iOS).,2,Objective-C,ios,14,12,6,1,0,1,0,2013
GitHub - Kjuly/KYManagedObject: Wrapped CoreData ManagedObject with convenient methods for iOS & OS X.,0,Objective-C,ios,2,1,1,1,0,1,0,2014
GitHub - khang-nd/android-web: An Android app using WebView and JavaScript Interface,0,Java,android,2,1,1,1,0,1,0,2021
GitHub - KeyboardKit/KeyboardKit: KeyboardKit is a Swift library that helps you create custom keyboard extensions for iOS and ipadOS.,627,Swift,ios,1550,548,7,3,3,1,0,2016
GitHub - keplersj/singingSiri: Teaching Siri how to sing!,4,Objective-C,ios,29,18,2,2,0,1,0,2012
GitHub - Kandy-IO/kandy-cpaas-ios-sdk: Kandy CPaaS iOS SDK release repository,5,Objective-C,ios,68,77,9,4,3,1,1,2019
"GitHub - kaaholst/android-squeezer: Remote control for your Logitech Media Server (""Squeezeserver"" etc) and players.",21,Java,android,2236,458,5,5,7,1,0,2011
GitHub - justjavac/free-programming-books-zh_CN: 免费的计算机编程类中文书籍，欢迎投稿,84800,Markdown,android,911,595,56,4,124,1,12,2013
GitHub - julianvasa/panoramagl: PanoramaGL library for iPhone and iPad.,2,Objective-C,ios,2,2,1,1,0,1,0,2015
GitHub - jreyesdev/peliculasApp: Aplicación que consume API de películas construida con React Native,0,Java,ios,2,1,1,1,0,1,0,2021
GitHub - jpantao/BMon-Andoid: BMon Android Application,0,Java,android,10,11,1,2,1,1,0,2021
GitHub - josedynamo/todolist: Yet another todo list exercise on Android,1,Java,android,6,4,1,1,0,1,0,2012
GitHub - JonasGroeger/GPSService: Demonstrates how to use a service to regularly update a activity with data via callback. Also allows the activity to call functions on the service.,16,Java,android,3,3,1,1,0,1,0,2012
GitHub - JohnAzedo/DFMDCourse: Development for mobile devices using Android native and Flutter code at UFRN,0,Kotlin,android,34,56,2,1,0,1,0,2021
GitHub - joaovitorcf97/GastoDeViagem,0,Kotlin,android,1,1,1,1,0,1,0,2021
GitHub - joanrieu/automatic-alarm: An android app which sets your morning-alarm everyday based on your first calendar entry,1,Java,android,41,15,2,2,0,1,0,2013
"GitHub - Jigsaw-Code/outline-client: Outline clients, developed by Jigsaw. The Outline clients use the popular Shadowsocks protocol, and lean on the Cordova and Electron frameworks to support Windows, Android / ChromeOS, Linux, iOS and macOS.",6500,TypeScript,android,774,1051,1,6,9,1,0,2018
GitHub - jhipster/generator-jhipster-react-native: A React Native blueprint for JHipster,230,EJS,android,1127,402,7,4,3,1,0,2017
"GitHub - jenshandersson/JALoadingView: An easy to use loading indicator for iOS. An early library in Objective-c, now Jens focus is on React Native",2,Objective-C,ios,15,7,3,2,1,1,0,2013
GitHub - jefersonph/SimpleWeather: SimpleWeather iOS APP,1,Objective-C,ios,3,2,1,1,0,1,0,2014
GitHub - jefersonph/ios-pos-unisinos: Aplicativo iOS Pós Graduação Unisinos,0,Objective-C,ios,3,2,1,1,0,1,0,2013
"GitHub - jefchen/nsattributedstringbuilder: A helper class to build attributed strings, making it easier to create descriptions with different font and color",1,Objective-C,ios,2,1,1,1,0,1,0,2013
"GitHub - jcayzac/androido3d: Port of the O3D engine to iOS/Android, with object selection, binary format, etc…",6,C,android,145,1914,2,3,3,1,0,2011
"GitHub - jcayzac/androido3d: Port of the O3D engine to iOS/Android, with object selection, binary format, etc…",6,C,ios,145,2302,2,3,3,1,0,2011
GitHub - JarvisDong/DiaryApp-iOS-: A diary iOS application that allows users create multiple dairy book and search dairy entry by tags,0,Swift,ios,5,170,1,1,1,1,0,2018
GitHub - jansanz/WakeMe: Wake on Lan / Wireless app for Android,1,Java,android,15,10,2,1,0,1,0,2011
GitHub - jansanz/TumblrOAuthDemo: Tumblr oAuth demo for Android using SignPost,8,Java,android,3,2,1,1,0,1,0,2011
GitHub - jansanz/Transformer-Battery-Status: Asus eePad Transformer Battery status app.,2,Java,android,13,6,2,1,0,1,0,2011
GitHub - jansanz/Rgdemo: Example on parsing HTML on iOS.,1,Objective-C,ios,9,4,1,1,0,1,0,2012
GitHub - jansanz/iOSXMLPerformance: XML Parser performance on iOS,6,Objective-C,ios,36,39,2,1,0,1,0,2013
GitHub - jansanz/DrivingDirsMapActivity: Driving Directions in MapActivity sample for Android,16,Java,android,5,3,1,1,0,1,0,2012
GitHub - jansanz/AFRaptureXMLRequestOperation: RaptureXML support for AFNetworking's AFHTTPClient,30,Objective-C,ios,20,9,1,3,1,1,0,2012
GitHub - jamesonwilliams/LifecycleTest: A Barebones app to debug (or just learn about) the Android application lifecycle,1,Java,android,2,1,1,1,0,1,0,2012
GitHub - jamesonwilliams/AndroidPersistentSensors: An example service which keeps getting sensor events even after the screen turns off.,33,Java,android,4,2,1,1,0,1,0,2012
GitHub - jakejarvis/JoeyTracker: iOS app for tracking shuttle buses at Tufts University. Abandoned as of 2016.,0,Objective-C,ios,1,1,1,1,0,1,0,2012
GitHub - iuliux/StickierQR: Android app that displays a stream of information related to the QR-Code sticker your camera sees. (Specifically created for Polytechnic University of Bucharest),6,Java,android,64,19,4,2,1,1,0,2012
GitHub - isnandar1471/Projek-Checkbox-dan-Radiobutton-Sederhana-berbasis-Android: Adalah Android App sederhana yang menggunakan widget Checkbox dan Radiobutton yang digunakan untuk memenuhi penugasan Mata Kuliah Pemrograman Front End,0,Kotlin,android,6,3,1,1,0,1,0,2021
GitHub - internaut/iReacTIVision: Modified reacTIVision code to compile and run under iOS. For original reacTIVision code see http://reactivision.sourceforge.net/.,1,C,ios,34,24,1,1,0,1,0,2012
GitHub - Instagram/IGListKit: A data-driven UICollectionView framework for building fast and flexible lists.,12200,Objective-C,ios,721,317,7,9,74,2,2,2016
GitHub - Idorobots/pac-man: A simple Pac Man clone for Android. An AGH-UST project.,0,Java,android,37,24,2,2,0,1,0,2012
"GitHub - iampawan/FlutterExampleApps: [Example APPS] Basic Flutter apps, for flutter devs.",15900,Dart,ios,52,38,2,2,6,1,0,2018
GitHub - iammanujose/CircumSpice: CircumSpice - iOS App - Find your near by places,2,Objective-C,ios,4,2,1,1,0,1,0,2012
GitHub - iambharatks/First-Android-App: It is my first android app,1,Java,android,1,1,1,1,0,1,0,2020
GitHub - hyun940630/ios-study: iOS study 📱,0,Swift,ios,84,19,1,1,1,1,0,2021
GitHub - hughrawlinson/Wired-Radio-iOS-App: An iOS App for Wired Radio,0,Objective-C,ios,8,4,1,1,0,1,0,2014
GitHub - hoshogi/iOS-study: iOS 공부 기록을 남기는 레포지토리 입니다.,0,Swift,ios,37,3,1,1,0,1,0,2021
"GitHub - horsicq/XAPKDetector: APK/DEX detector for Windows, Linux and MacOS.",328,C++,android,3892,1241,41,1,1,1,0,2020
GitHub - hiennguyen92/flutter_callkit_incoming: Flutter Callkit Incoming,5,Kotlin,ios,51,17,2,1,0,1,0,2021
GitHub - hiennguyen92/flutter_callkit_incoming: Flutter Callkit Incoming,5,Kotlin,android,51,17,2,1,0,1,0,2021
GitHub - heestand-xyz/VertexKit: a Framework for iOS & macOS,40,Swift,ios,118,45,7,2,1,1,0,2018
GitHub - heestand-xyz/PixelKit: Live Graphics,705,Swift,ios,1554,586,6,3,3,1,0,2018
GitHub - halilozel1903/AndroidProjects: Temel seviyeden başlayıp ileri seviye kadar olan Android Uygulamaların bulunduğu projedir.,1,Java,android,3,1,1,1,0,1,0,2018
GitHub - halildurmus/hotdeals-app: A community-driven hot deals sharing app developed with Flutter.,7,Dart,ios,403,51,5,3,2,1,0,2021
GitHub - halildurmus/hotdeals-app: A community-driven hot deals sharing app developed with Flutter.,7,Dart,android,403,51,5,3,2,1,0,2021
"GitHub - Hack-with-Github/Awesome-Hacking: A collection of various awesome lists for hackers, pentesters and security researchers",47900,Markdown,android,113,84,19,3,20,2,7,2016
GitHub - haakseth/VolleyStats: Android app for keeping stats for volleyball,2,Java,android,1,1,1,1,0,1,0,2012
GitHub - gyeolse/sogyo: 상권 분석 애플리케이션 제작,0,Java,android,84,27,1,3,2,1,0,2020
